2026-03-10 20:07:36 | scraper.imtiaz       | DEBUG    | GET (try 3): https://www.imtiaz.com.pk/category/snacks-confectionery?page=1
2026-03-10 20:07:38 | scraper.imtiaz       | WARNING  | HTTP ? on try 3: https://www.imtiaz.com.pk/category/snacks-confectionery?page=1
2026-03-10 20:07:38 | scraper.imtiaz       | ERROR    | FAILED after 3 tries: https://www.imtiaz.com.pk/category/snacks-confectionery?page=1
2026-03-10 20:07:38 | scraper.imtiaz       | DEBUG    | Long sleep 15.0s ...
2026-03-10 20:07:53 | scraper.imtiaz       | INFO     |   Category: cooking-oil-ghee
2026-03-10 20:07:53 | scraper.imtiaz       | DEBUG    | Sleeping 2.2s ...
2026-03-10 20:07:55 | scraper.imtiaz       | DEBUG    | GET (try 1): https://www.imtiaz.com.pk/category/cooking-oil-ghee?page=1
2026-03-10 20:07:57 | scraper.imtiaz       | WARNING  | HTTP ? on try 1: https://www.imtiaz.com.pk/category/cooking-oil-ghee?page=1
2026-03-10 20:07:57 | scraper.imtiaz       | DEBUG    | Backoff: waiting 7.2s before retry...
2026-03-10 20:08:04 | scraper.imtiaz       | DEBUG    | GET (try 2): https://www.imtiaz.com.pk/category/cooking-oil-ghee?page=1
2026-03-10 20:08:06 | scraper.imtiaz       | WARNING  | HTTP ? on try 2: https://www.imtiaz.com.pk/category/cooking-oil-ghee?page=1
2026-03-10 20:08:06 | scraper.imtiaz       | DEBUG    | Backoff: waiting 11.1s before retry...
2026-03-10 20:08:17 | scraper.imtiaz       | DEBUG    | GET (try 3): https://www.imtiaz.com.pk/category/cooking-oil-ghee?page=1
2026-03-10 20:08:19 | scraper.imtiaz       | WARNING  | HTTP ? on try 3: https://www.imtiaz.com.pk/category/cooking-oil-ghee?page=1
2026-03-10 20:08:19 | scraper.imtiaz       | ERROR    | FAILED after 3 tries: https://www.imtiaz.com.pk/category/cooking-oil-ghee?page=1
2026-03-10 20:08:19 | scraper.imtiaz       | DEBUG    | Long sleep 10.7s ...
2026-03-10 20:08:30 | scraper.imtiaz       | INFO     |   Category: personal-care
2026-03-10 20:08:30 | scraper.imtiaz       | DEBUG    | Sleeping 3.9s ...
2026-03-10 20:08:33 | scraper.imtiaz       | DEBUG    | GET (try 1): https://www.imtiaz.com.pk/category/personal-care?page=1
2026-03-10 20:08:35 | scraper.imtiaz       | WARNING  | HTTP ? on try 1: https://www.imtiaz.com.pk/category/personal-care?page=1
2026-03-10 20:08:35 | scraper.imtiaz       | DEBUG    | Backoff: waiting 7.4s before retry...
2026-03-10 20:08:42 | scraper.imtiaz       | DEBUG    | GET (try 2): https://www.imtiaz.com.pk/category/personal-care?page=1
2026-03-10 20:08:44 | scraper.imtiaz       | WARNING  | HTTP ? on try 2: https://www.imtiaz.com.pk/category/personal-care?page=1
2026-03-10 20:08:44 | scraper.imtiaz       | DEBUG    | Backoff: waiting 11.1s before retry...
2026-03-10 20:08:55 | scraper.imtiaz       | DEBUG    | GET (try 3): https://www.imtiaz.com.pk/category/personal-care?page=1
2026-03-10 20:08:57 | scraper.imtiaz       | WARNING  | HTTP ? on try 3: https://www.imtiaz.com.pk/category/personal-care?page=1
2026-03-10 20:08:57 | scraper.imtiaz       | ERROR    | FAILED after 3 tries: https://www.imtiaz.com.pk/category/personal-care?page=1
2026-03-10 20:08:57 | scraper.imtiaz       | DEBUG    | Long sleep 9.0s ...
2026-03-10 20:09:06 | scraper.imtiaz       | INFO     |   Category: baby-care
2026-03-10 20:09:06 | scraper.imtiaz       | DEBUG    | Sleeping 3.2s ...
2026-03-10 20:09:09 | scraper.imtiaz       | DEBUG    | GET (try 1): https://www.imtiaz.com.pk/category/baby-care?page=1
2026-03-10 20:09:11 | scraper.imtiaz       | WARNING  | HTTP ? on try 1: https://www.imtiaz.com.pk/category/baby-care?page=1
2026-03-10 20:09:11 | scraper.imtiaz       | DEBUG    | Backoff: waiting 7.2s before retry...
2026-03-10 20:09:18 | scraper.imtiaz       | DEBUG    | GET (try 2): https://www.imtiaz.com.pk/category/baby-care?page=1
2026-03-10 20:09:20 | scraper.imtiaz       | WARNING  | HTTP ? on try 2: https://www.imtiaz.com.pk/category/baby-care?page=1
2026-03-10 20:09:20 | scraper.imtiaz       | DEBUG    | Backoff: waiting 11.9s before retry...
2026-03-10 20:09:32 | scraper.imtiaz       | DEBUG    | GET (try 3): https://www.imtiaz.com.pk/category/baby-care?page=1
2026-03-10 20:09:33 | scraper.imtiaz       | WARNING  | HTTP ? on try 3: https://www.imtiaz.com.pk/category/baby-care?page=1
2026-03-10 20:09:33 | scraper.imtiaz       | ERROR    | FAILED after 3 tries: https://www.imtiaz.com.pk/category/baby-care?page=1
2026-03-10 20:09:33 | scraper.imtiaz       | DEBUG    | Long sleep 6.8s ...
2026-03-10 20:09:40 | scraper.imtiaz       | INFO     |   Category: cleaning-household
2026-03-10 20:09:40 | scraper.imtiaz       | DEBUG    | Sleeping 3.2s ...
2026-03-10 20:09:43 | scraper.imtiaz       | DEBUG    | GET (try 1): https://www.imtiaz.com.pk/category/cleaning-household?page=1
2026-03-10 20:09:45 | scraper.imtiaz       | WARNING  | HTTP ? on try 1: https://www.imtiaz.com.pk/category/cleaning-household?page=1
2026-03-10 20:09:45 | scraper.imtiaz       | DEBUG    | Backoff: waiting 7.3s before retry...
2026-03-10 20:09:52 | scraper.imtiaz       | DEBUG    | GET (try 2): https://www.imtiaz.com.pk/category/cleaning-household?page=1
2026-03-10 20:09:54 | scraper.imtiaz       | WARNING  | HTTP ? on try 2: https://www.imtiaz.com.pk/category/cleaning-household?page=1
2026-03-10 20:09:54 | scraper.imtiaz       | DEBUG    | Backoff: waiting 11.5s before retry...
2026-03-10 20:10:05 | scraper.imtiaz       | DEBUG    | GET (try 3): https://www.imtiaz.com.pk/category/cleaning-household?page=1
2026-03-10 20:10:07 | scraper.imtiaz       | WARNING  | HTTP ? on try 3: https://www.imtiaz.com.pk/category/cleaning-household?page=1
2026-03-10 20:10:07 | scraper.imtiaz       | ERROR    | FAILED after 3 tries: https://www.imtiaz.com.pk/category/cleaning-household?page=1
2026-03-10 20:10:07 | scraper.imtiaz       | DEBUG    | Long sleep 10.4s ...
2026-03-10 20:10:17 | scraper.imtiaz       | INFO     |   Category: frozen-food
2026-03-10 20:10:17 | scraper.imtiaz       | DEBUG    | Sleeping 2.2s ...
2026-03-10 20:10:19 | scraper.imtiaz       | DEBUG    | GET (try 1): https://www.imtiaz.com.pk/category/frozen-food?page=1
2026-03-10 20:10:21 | scraper.imtiaz       | WARNING  | HTTP ? on try 1: https://www.imtiaz.com.pk/category/frozen-food?page=1
2026-03-10 20:10:21 | scraper.imtiaz       | DEBUG    | Backoff: waiting 6.7s before retry...
2026-03-10 20:10:28 | scraper.imtiaz       | DEBUG    | GET (try 2): https://www.imtiaz.com.pk/category/frozen-food?page=1
2026-03-10 20:10:29 | scraper.imtiaz       | WARNING  | HTTP ? on try 2: https://www.imtiaz.com.pk/category/frozen-food?page=1
2026-03-10 20:10:29 | scraper.imtiaz       | DEBUG    | Backoff: waiting 11.6s before retry...
2026-03-10 20:10:41 | scraper.imtiaz       | DEBUG    | GET (try 3): https://www.imtiaz.com.pk/category/frozen-food?page=1
2026-03-10 20:10:43 | scraper.imtiaz       | WARNING  | HTTP ? on try 3: https://www.imtiaz.com.pk/category/frozen-food?page=1
2026-03-10 20:10:43 | scraper.imtiaz       | ERROR    | FAILED after 3 tries: https://www.imtiaz.com.pk/category/frozen-food?page=1
2026-03-10 20:10:43 | scraper.imtiaz       | DEBUG    | Long sleep 13.8s ...
2026-03-10 20:10:56 | scraper.imtiaz       | INFO     |   Category: health-wellness
2026-03-10 20:10:56 | scraper.imtiaz       | DEBUG    | Sleeping 2.2s ...
2026-03-10 20:10:59 | scraper.imtiaz       | DEBUG    | GET (try 1): https://www.imtiaz.com.pk/category/health-wellness?page=1
2026-03-10 20:11:01 | scraper.imtiaz       | WARNING  | HTTP ? on try 1: https://www.imtiaz.com.pk/category/health-wellness?page=1
2026-03-10 20:11:01 | scraper.imtiaz       | DEBUG    | Backoff: waiting 7.9s before retry...
2026-03-10 20:11:08 | scraper.imtiaz       | DEBUG    | GET (try 2): https://www.imtiaz.com.pk/category/health-wellness?page=1
2026-03-10 20:11:10 | scraper.imtiaz       | WARNING  | HTTP ? on try 2: https://www.imtiaz.com.pk/category/health-wellness?page=1
2026-03-10 20:11:10 | scraper.imtiaz       | DEBUG    | Backoff: waiting 12.4s before retry...
2026-03-10 20:11:22 | scraper.imtiaz       | DEBUG    | GET (try 3): https://www.imtiaz.com.pk/category/health-wellness?page=1
2026-03-10 20:11:24 | scraper.imtiaz       | WARNING  | HTTP ? on try 3: https://www.imtiaz.com.pk/category/health-wellness?page=1
2026-03-10 20:11:24 | scraper.imtiaz       | ERROR    | FAILED after 3 tries: https://www.imtiaz.com.pk/category/health-wellness?page=1
2026-03-10 20:11:24 | scraper.imtiaz       | DEBUG    | Long sleep 12.1s ...
2026-03-10 20:11:36 | scraper.imtiaz       | INFO     |   Category: rice-flour-pulses
2026-03-10 20:11:36 | scraper.imtiaz       | DEBUG    | Sleeping 3.9s ...
2026-03-10 20:11:40 | scraper.imtiaz       | DEBUG    | GET (try 1): https://www.imtiaz.com.pk/category/rice-flour-pulses?page=1
2026-03-10 20:11:42 | scraper.imtiaz       | WARNING  | HTTP ? on try 1: https://www.imtiaz.com.pk/category/rice-flour-pulses?page=1
2026-03-10 20:11:42 | scraper.imtiaz       | DEBUG    | Backoff: waiting 7.0s before retry...
2026-03-10 20:11:49 | scraper.imtiaz       | DEBUG    | GET (try 2): https://www.imtiaz.com.pk/category/rice-flour-pulses?page=1
2026-03-10 20:11:51 | scraper.imtiaz       | WARNING  | HTTP ? on try 2: https://www.imtiaz.com.pk/category/rice-flour-pulses?page=1
2026-03-10 20:11:51 | scraper.imtiaz       | DEBUG    | Backoff: waiting 11.6s before retry...
2026-03-10 20:12:02 | scraper.imtiaz       | DEBUG    | GET (try 3): https://www.imtiaz.com.pk/category/rice-flour-pulses?page=1
2026-03-10 20:12:04 | scraper.imtiaz       | WARNING  | HTTP ? on try 3: https://www.imtiaz.com.pk/category/rice-flour-pulses?page=1
2026-03-10 20:12:04 | scraper.imtiaz       | ERROR    | FAILED after 3 tries: https://www.imtiaz.com.pk/category/rice-flour-pulses?page=1
2026-03-10 20:12:04 | scraper.imtiaz       | DEBUG    | Long sleep 8.2s ...
2026-03-10 20:12:12 | scraper.imtiaz       | INFO     |   Category: spices-seasoning
2026-03-10 20:12:12 | scraper.imtiaz       | DEBUG    | Sleeping 3.3s ...
2026-03-10 20:12:16 | scraper.imtiaz       | DEBUG    | GET (try 1): https://www.imtiaz.com.pk/category/spices-seasoning?page=1
2026-03-10 20:12:17 | scraper.imtiaz       | WARNING  | HTTP ? on try 1: https://www.imtiaz.com.pk/category/spices-seasoning?page=1
2026-03-10 20:12:17 | scraper.imtiaz       | DEBUG    | Backoff: waiting 7.3s before retry...
2026-03-10 20:12:24 | scraper.imtiaz       | DEBUG    | GET (try 2): https://www.imtiaz.com.pk/category/spices-seasoning?page=1
2026-03-10 20:12:26 | scraper.imtiaz       | WARNING  | HTTP ? on try 2: https://www.imtiaz.com.pk/category/spices-seasoning?page=1
2026-03-10 20:12:26 | scraper.imtiaz       | DEBUG    | Backoff: waiting 11.1s before retry...
2026-03-10 20:12:37 | scraper.imtiaz       | DEBUG    | GET (try 3): https://www.imtiaz.com.pk/category/spices-seasoning?page=1
2026-03-10 20:12:39 | scraper.imtiaz       | WARNING  | HTTP ? on try 3: https://www.imtiaz.com.pk/category/spices-seasoning?page=1
2026-03-10 20:12:39 | scraper.imtiaz       | ERROR    | FAILED after 3 tries: https://www.imtiaz.com.pk/category/spices-seasoning?page=1
2026-03-10 20:12:39 | scraper.imtiaz       | DEBUG    | Long sleep 7.3s ...
2026-03-10 20:12:46 | scraper.imtiaz       | INFO     |   Category: tea-coffee
2026-03-10 20:12:46 | scraper.imtiaz       | DEBUG    | Sleeping 3.3s ...
