2026-03-12 05:30:10 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||864 | try=1 | status=200 | 159ms | SUCCESS
2026-03-12 05:30:13 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||865 | try=1 | status=200 | 212ms | SUCCESS
2026-03-12 05:30:16 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||867 | try=1 | status=200 | 202ms | SUCCESS
2026-03-12 05:30:19 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||869 | try=1 | status=200 | 239ms | SUCCESS
2026-03-12 05:30:21 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||871 | try=1 | status=200 | 178ms | SUCCESS
2026-03-12 05:30:24 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||873 | try=1 | status=200 | 301ms | SUCCESS
2026-03-12 05:30:26 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||874 | try=1 | status=200 | 228ms | SUCCESS
2026-03-12 05:30:28 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||876 | try=1 | status=200 | 168ms | SUCCESS
2026-03-12 05:30:29 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||878 | try=1 | status=200 | 142ms | SUCCESS
2026-03-12 05:30:31 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||881 | try=1 | status=200 | 214ms | SUCCESS
2026-03-12 05:30:34 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||883 | try=1 | status=200 | 172ms | SUCCESS
2026-03-12 05:30:37 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||887 | try=1 | status=200 | 182ms | SUCCESS
2026-03-12 05:30:39 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||888 | try=1 | status=200 | 167ms | SUCCESS
2026-03-12 05:30:42 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||889 | try=1 | status=200 | 209ms | SUCCESS
2026-03-12 05:30:45 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||890 | try=1 | status=200 | 187ms | SUCCESS
2026-03-12 05:30:47 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||893 | try=1 | status=200 | 174ms | SUCCESS
2026-03-12 05:30:49 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||894 | try=1 | status=200 | 207ms | SUCCESS
2026-03-12 05:30:52 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||896 | try=1 | status=200 | 271ms | SUCCESS
2026-03-12 05:30:54 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||898 | try=1 | status=200 | 176ms | SUCCESS
2026-03-12 05:30:56 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||900 | try=1 | status=200 | 158ms | SUCCESS
2026-03-12 05:30:58 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||904 | try=1 | status=200 | 229ms | SUCCESS
2026-03-12 05:31:01 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||905 | try=1 | status=200 | 166ms | SUCCESS
2026-03-12 05:31:03 | INFO    | metro        | GET | https://stagging.metro-online.pk/api/read/Products?type=Products_nd_associated_Brands&filter=||tier3Id&filterValue=||907 | try=1 | status=200 | 233ms | SUCCESS
